name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Alavutdin Gadjiev,,18,13,1,187.96,83.91,,Orthodox,23-06-1982
Albert Cheng,,7,4,0,180.34,77.11,,Orthodox,07-02-1985
Albert Duraev,,16,5,0,180.34,83.91,190.5,Orthodox,05-01-1989
Albert Morales,The Warrior,7,4,1,175.26,61.23,182.88,Orthodox,25-05-1991
Albert Rios,,13,6,0,172.72,65.77,,,
Albert Tumenov,Einstein,18,4,0,180.34,77.11,185.42,Orthodox,26-12-1991
Alberta Cerra Leon,,0,1,0,172.72,107.95,,,
Alberto Crane,,15,5,0,165.1,70.31,,Orthodox,14-07-1976
Alberto Mina,Soldier of God,13,1,0,182.88,77.11,195.58,Orthodox,02-05-1982
Alberto Montes,The Promise,4,0,0,170.18,61.23,,,
Alberto Uda,,12,2,0,190.5,83.91,,Orthodox,08-08-1984
Alejandro Flores,El Gallito,17,3,0,177.8,65.77,185.42,Orthodox,06-08-1991
Alejandro Garcia,Alex,14,10,0,170.18,65.77,,,
Alejandro Perez,Turbo,23,9,1,167.64,61.23,170.18,Orthodox,02-09-1989
Alejandro Villalobos,,17,5,0,170.18,65.77,,,
Aleksa Camur,,6,3,0,185.42,92.99,187.96,Orthodox,25-09-1995
Aleksandar Rakic,,14,3,0,193.04,92.99,198.12,Orthodox,06-02-1992
Aleksander Emelianenko,,23,7,0,198.12,115.67,,Orthodox,02-08-1981
Aleksandra Albu,Stitch,3,2,0,157.48,52.16,160.02,Orthodox,14-07-1990
Aleksei Kunchenko,,20,2,0,172.72,77.11,177.8,Orthodox,02-05-1984
Aleksei Oleinik,The Boa Constrictor,60,17,1,187.96,108.86,203.2,Orthodox,20-06-1977
Alen Amedovski,,8,4,0,177.8,83.91,187.96,Orthodox,06-04-1988
Alessandro Costa,Nono,13,4,0,162.56,56.7,170.18,Orthodox,28-01-1996
Alessio Di Chirico,Manzo,13,7,0,182.88,83.91,187.96,Orthodox,12-12-1989
Alessio Sakara,Legionarius,19,11,0,182.88,83.91,182.88,Orthodox,02-09-1981
Alex Andrade,El Toro,10,5,0,180.34,90.72,,Orthodox,14-05-1974
Alex Caceres,Bruce Leeroy,21,14,0,177.8,65.77,185.42,Southpaw,20-06-1988
Alex Chambers,Astro Girl,5,5,0,160.02,52.16,160.02,Southpaw,25-10-1978
Alex Crispin,,0,1,0,,70.31,,,
Alex Da Silva,Leko,21,4,0,172.72,70.31,185.42,Orthodox,04-02-1996
Alex Dunworth,,2,2,0,172.72,70.31,,,
Alex Enlund,,14,2,0,177.8,65.77,,Orthodox,27-05-1987
Alex Garcia,The Dominican Nightmare,15,6,0,175.26,77.11,182.88,Orthodox,14-07-1987
Alex Gilpin,,11,1,0,170.18,65.77,,Orthodox,26-03-1992
Alex Gorgees,Hitman,6,1,0,187.96,70.31,187.96,Switch,11-08-1995
Alex Higley,,4,3,0,177.8,65.77,,,
Alex Huddleston,The Shaved Gorilla,6,2,0,200.66,115.21,,,
Alex Hunter,,2,0,0,175.26,102.51,,Orthodox,
Alex Karalexis,The Assassin,10,6,0,172.72,70.31,167.64,Orthodox,20-09-1977
Alex Morono,The Great White,23,9,0,180.34,77.11,182.88,Orthodox,16-08-1990
Alex Nicholson,The Spartan,7,4,0,193.04,83.91,195.58,Orthodox,02-05-1990
Alex Oliveira,Cowboy,22,12,1,180.34,77.11,193.04,Orthodox,21-02-1988
Alex Pereira,Poatan,9,2,0,193.04,92.99,200.66,Orthodox,07-07-1987
Alex Perez,,24,7,0,167.64,56.7,165.1,Orthodox,21-03-1992
Alex Reyes,The Executioner,13,4,0,180.34,70.31,185.42,Orthodox,02-10-1986
Alex Ricci,,10,5,0,180.34,70.31,,Orthodox,21-07-1982
Alex Schoenauer,,15,10,0,190.5,83.91,,Orthodox,05-05-1976
Alex Serdyukov,The Russian Crusher,8,5,0,187.96,77.11,187.96,Orthodox,24-05-1980
Alex Soto,Extremo,8,3,1,172.72,61.23,,Southpaw,15-02-1984
Alex Stiebling,The Brazilian Killa,19,11,1,187.96,92.99,,Southpaw,
Alex Torres,Rolo,5,4,0,177.8,65.77,,Orthodox,29-05-1988
Alex White,The Spartan,13,6,0,182.88,70.31,180.34,Southpaw,22-10-1988
Alex Zuniga,,6,3,0,,65.77,,,
Alexa Grasso,,16,3,1,165.1,56.7,167.64,Orthodox,09-08-1993
Alexander Crispim,,8,6,0,,65.77,,,
Alexander Gustafsson,The Mauler,18,8,0,195.58,92.99,200.66,Orthodox,15-01-1987
Alexander Hernandez,The Great Ape,14,7,0,175.26,65.77,182.88,Orthodox,01-10-1992
Alexander Morgan,The Chess Master,11,5,0,177.8,65.77,180.34,Orthodox,14-05-1991
Alexander Munoz,,7,2,0,175.26,70.31,182.88,Switch,27-02-1990
Alexander Otsuka,The Diet Butcher,5,13,0,185.42,92.99,,Orthodox,17-07-1971
Alexander Poppeck,,9,3,0,187.96,92.99,,Orthodox,06-04-1992
Alexander Sarnavskiy,Tiger,35,6,0,180.34,70.31,,,
Alexander Shlemenko,Storm,56,9,0,180.34,83.91,,,
Alexander Soldatkin,,14,4,0,187.96,113.4,190.5,Orthodox,10-06-1993
Alexander Trevino,,7,7,0,,77.11,,,
Alexander Volkanovski,The Great,26,3,0,167.64,65.77,180.34,Orthodox,29-09-1988
Alexander Volkov,Drago,37,10,0,200.66,113.4,203.2,Orthodox,24-10-1988
Alexander Yakovlev,Russian Thunder,24,10,1,190.5,70.31,187.96,Southpaw,18-07-1984
Alexandr Romanov,King Kong,17,2,0,187.96,118.84,190.5,Southpaw,11-12-1990
Alexandre Barros,Baixinho,22,11,0,175.26,77.11,,Southpaw,19-11-1976
