RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Eddie Wineland,John Castaneda,100,-125,20-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Switch,167.64,180.34,Orthodox,170.18,175.26,36,29,KO/TKO,,,,,,,,,,,,,,,,,,,,
Nate Landwehr,Julian Erosa,-112,-112,20-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,Southpaw,185.42,187.96,Orthodox,175.26,182.88,32,31,KO/TKO,,,,,,,,,,,,,,,,,,,,
Shana Dobson,Casey O'Neill,125,-155,20-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,175.26,Orthodox,167.64,175.26,31,23,KO/TKO,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Drako Rodriguez,150,-190,20-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Orthodox,172.72,175.26,Orthodox,172.72,172.72,33,24,KO/TKO,,,,,,,,,,,,,,,,,,,,
Serghei Spivac,Jared Vanderaa,-250,195,20-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,Orthodox,193.04,203.2,Orthodox,190.5,198.12,26,28,KO/TKO,,,,,,,,,,,,,,,,,,,,
Kamaru Usman,Gilbert Burns,-278,228,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,TRUE,Welterweight,MALE,Orthodox,177.8,180.34,Switch,182.88,193.04,33,34,KO/TKO,,,,,,,,,,,,,,,,,,,,
Maycee Barber,Alexa Grasso,-107,-107,13-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,165.1,167.64,Switch,165.1,165.1,22,27,U-DEC,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,Ian Heinisch,-205,174,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,180.34,182.88,Southpaw,175.26,180.34,29,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Ricky Simon,Brian Kelleher,-253,210,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Switch,167.64,167.64,Orthodox,167.64,175.26,28,34,U-DEC,,,,,,,,,,,,,,,,,,,,
Maki Pitolo,Julian Marquez,145,-177,13-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,Orthodox,187.96,182.88,Orthodox,177.8,190.5,30,30,SUB,,,,,,,,,,,,,,,,,,,,
Rodolfo Vieira,Anthony Hernandez,-487,365,13-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,Orthodox,182.88,190.5,Orthodox,182.88,185.42,31,27,SUB,,,,,,,,,,,,,,,,,,,,
Belal Muhammad,Dhiego Lima,-447,340,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,187.96,190.5,Orthodox,180.34,182.88,32,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Polyana Viana,Mallory Martin,100,-115,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,162.56,160.02,Orthodox,165.1,170.18,28,27,SUB,,,,,,,,,,,,,,,,,,,,
Andre Ewell,Chris Gutierrez,112,-129,13-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Catch Weight,MALE,Orthodox,175.26,170.18,Southpaw,172.72,190.5,33,29,U-DEC,,,,,,,,,,,,,,,,,,,,
Gabe Green,Philip Rowe,-138,120,13-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,190.5,203.2,Switch,177.8,185.42,27,30,U-DEC,,,,,,,,,,,,,,,,,,,,
Alistair Overeem,Alexander Volkov,150,-182,06-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,Orthodox,200.66,203.2,Orthodox,193.04,203.2,40,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Cory Sandhagen,Frankie Edgar,-400,300,06-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,172.72,Switch,180.34,177.8,28,39,KO/TKO,,,,,,,,,,,,,,,,,,,,
Alexandre Pantoja,Manel Kape,-125,100,06-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Southpaw,165.1,172.72,Orthodox,165.1,170.18,30,27,U-DEC,,,,,,,,,,,,,,,,,,,,
Diego Ferreira,Beneil Dariush,-125,105,06-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,Southpaw,177.8,182.88,Orthodox,175.26,187.96,36,31,S-DEC,,,,,,,,,,,,,,,,,,,,
Michael Johnson,Clay Guida,-225,175,06-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,Orthodox,170.18,177.8,Southpaw,177.8,185.42,34,39,U-DEC,,,,,,,,,,,,,,,,,,,,
Mike Rodriguez,Danilo Marques,-240,188,06-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,Orthodox,198.12,195.58,Southpaw,193.04,208.28,32,35,SUB,,,,,,,,,,,,,,,,,,,,
Molly McCann,Lara Procopio,-177,140,06-02-2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,162.56,170.18,Orthodox,162.56,157.48,30,25,U-DEC,,,,,,,,,,,,,,,,,,,,
SeungWoo Choi,Youssef Zalal,175,-230,06-02-2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Switch,177.8,182.88,Orthodox,182.88,187.96,28,24,U-DEC,,,,,,,,,,,,,,,,,,,,
Dustin Poirier,Conor McGregor,250,-305,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Lightweight,MALE,Southpaw,175.26,187.96,Southpaw,175.26,182.88,32,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Dan Hooker,Michael Chandler,-134,105,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,Orthodox,172.72,180.34,Switch,182.88,190.5,30,34,KO/TKO,,,,,,,,,,,,,,,,,,,,
Jessica Eye,Joanne Calderwood,-105,-117,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,165.1,Orthodox,167.64,167.64,34,35,U-DEC,,,,,,,,,,,,,,,,,,,,
Andrew Sanchez,Makhmud Muradov,115,-143,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,Orthodox,187.96,190.5,Orthodox,185.42,187.96,32,30,KO/TKO,,,,,,,,,,,,,,,,,,,,
Marina Rodriguez,Amanda Ribas,250,-335,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,167.64,Orthodox,167.64,165.1,33,27,KO/TKO,,,,,,,,,,,,,,,,,,,,
Brad Tavares,Antonio Carlos Junior,-134,105,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,187.96,200.66,Orthodox,185.42,187.96,33,30,U-DEC,,,,,,,,,,,,,,,,,,,,
Julianna Pena,Sara McMann,105,-130,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,167.64,167.64,Orthodox,167.64,175.26,31,40,SUB,,,,,,,,,,,,,,,,,,,,
Khalil Rountree Jr.,Marcin Prachnio,-335,250,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,Orthodox,190.5,187.96,Southpaw,185.42,193.04,30,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Nik Lentz,Movsar Evloev,390,-560,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Catch Weight,MALE,Orthodox,170.18,182.88,Orthodox,172.72,172.72,36,26,S-DEC,,,,,,,,,,,,,,,,,,,,
Amir Albazi,Zhalgas Zhumagulov,-106,-118,23-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,Switch,162.56,167.64,Orthodox,165.1,172.72,27,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Michael Chiesa,Neil Magny,120,-148,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,Orthodox,190.5,203.2,Southpaw,185.42,190.5,33,33,U-DEC,,,,,,,,,,,,,,,,,,,,
Warlley Alves,Mounir Lazzez,185,-230,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,Orthodox,185.42,193.04,Orthodox,180.34,182.88,30,33,KO/TKO,,,,,,,,,,,,,,,,,,,,
Ike Villanueva,Vinicius Moreira,-134,110,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,Orthodox,193.04,193.04,Orthodox,185.42,185.42,36,31,KO/TKO,,,,,,,,,,,,,,,,,,,,
Roxanne Modafferi,Viviane Araujo,260,-335,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,162.56,172.72,Orthodox,170.18,175.26,38,34,U-DEC,,,,,,,,,,,,,,,,,,,,
Matt Schnell,Tyson Nam,105,-130,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,Orthodox,170.18,172.72,Orthodox,172.72,177.8,31,37,S-DEC,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Douglas Silva de Andrade,-305,240,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,Orthodox,170.18,172.72,Orthodox,175.26,185.42,29,35,U-DEC,,,,,,,,,,,,,,,,,,,,
Omari Akhmedov,Tom Breese,128,-159,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Southpaw,190.5,185.42,Orthodox,182.88,185.42,33,29,SUB,,,,,,,,,,,,,,,,,,,,
Ricky Simon,Gaetano Pirrello,-400,300,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Bantamweight,MALE,Orthodox,170.18,170.18,Orthodox,167.64,175.26,28,28,SUB,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Zarrukh Adashev,-400,300,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,Southpaw,165.1,165.1,Southpaw,172.72,182.88,25,28,U-DEC,,,,,,,,,,,,,,,,,,,,
Dalcha Lungiambula,Markus Perez,-143,115,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,185.42,185.42,Orthodox,172.72,193.04,33,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Francisco Figueiredo,Jerome Rivera,-155,125,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,Southpaw,177.8,182.88,Southpaw,167.64,175.26,31,25,U-DEC,,,,,,,,,,,,,,,,,,,,
Mike Davis,Mason Jones,-175,135,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,Orthodox,177.8,177.8,Orthodox,182.88,182.88,28,25,U-DEC,,,,,,,,,,,,,,,,,,,,
Umar Nurmagomedov,Sergey Morozov,-530,375,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,167.64,Orthodox,172.72,172.72,24,31,SUB,,,,,,,,,,,,,,,,,,,,
Victoria Leonardo,Manon Fiorot,170,-215,20-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,170.18,170.18,Orthodox,165.1,162.56,30,30,KO/TKO,,,,,,,,,,,,,,,,,,,,
Max Holloway,Calvin Kattar,-162,138,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,Orthodox,180.34,182.88,Orthodox,180.34,175.26,29,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Carlos Condit,Matt Brown,-177,145,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,Orthodox,182.88,190.5,Orthodox,187.96,190.5,36,40,U-DEC,,,,,,,,,,,,,,,,,,,,
Santiago Ponzinibbio,Li Jingliang,-305,240,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,Orthodox,182.88,180.34,Orthodox,182.88,185.42,34,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Joaquin Buckley,Alessio Di Chirico,-278,215,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,Orthodox,182.88,187.96,Southpaw,177.8,193.04,26,31,KO/TKO,,,,,,,,,,,,,,,,,,,,
Punahele Soriano,Dusko Todorovic,130,-159,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,185.42,187.96,Southpaw,180.34,182.88,28,26,KO/TKO,,,,,,,,,,,,,,,,,,,,
Wu Yanan,Joselyne Edwards,-110,-110,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,172.72,177.8,Orthodox,172.72,167.64,24,25,U-DEC,,,,,,,,,,,,,,,,,,,,
Carlos Felipe,Justin Tafa,-190,155,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,Southpaw,182.88,187.96,Orthodox,182.88,190.5,26,27,S-DEC,,,,,,,,,,,,,,,,,,,,
David Zawada,Ramazan Emeev,210,-275,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,Southpaw,177.8,193.04,Orthodox,182.88,190.5,30,33,S-DEC,,,,,,,,,,,,,,,,,,,,
Sarah Moras,Vanessa Melo,-230,180,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,165.1,165.1,Orthodox,170.18,170.18,32,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Jacob Kilburn,Austin Lingo,180,-230,16-01-2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Featherweight,MALE,Orthodox,177.8,177.8,Orthodox,175.26,182.88,25,26,U-DEC,,,,,,,,,,,,,,,,,,,,
Stephen Thompson,Geoff Neal,-103,-117,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Southpaw,180.34,190.5,Orthodox,182.88,190.5,37,30,U-DEC,,,,,,,,,,,,,,,,,,,,
Jose Aldo,Marlon Vera,-140,120,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Switch,172.72,177.8,Orthodox,170.18,177.8,34,28,U-DEC,,,,,,,,,,,,,,,,,,,,
Michel Pereira,Khaos Williams,105,-125,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,182.88,195.58,Orthodox,185.42,185.42,27,26,U-DEC,,,,,,,,,,,,,,,,,,,,
Marlon Moraes,Rob Font,-170,150,19-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Orthodox,167.64,170.18,Orthodox,172.72,180.34,33,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Marcin Tybura,Greg Hardy,-110,-110,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,Orthodox,195.58,203.2,Orthodox,190.5,198.12,35,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Anthony Pettis,Alex Morono,-210,175,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Orthodox,180.34,182.88,Orthodox,177.8,182.88,33,30,U-DEC,,,,,,,,,,,,,,,,,,,,
Sijara Eubanks,Pannie Kianzad,-140,120,19-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,162.56,170.18,Orthodox,170.18,167.64,29,35,U-DEC,,,,,,,,,,,,,,,,,,,,
Deron Winn,Antonio Arroyo,160,-185,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Catch Weight,MALE,Orthodox,190.5,185.42,Orthodox,167.64,177.8,31,31,U-DEC,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Taila Santos,-145,125,19-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,165.1,160.02,Orthodox,167.64,172.72,27,25,U-DEC,,,,,,,,,,,,,,,,,,,,
Tafon Nchukwi,Jamie Pickett,-335,275,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,187.96,203.2,Orthodox,182.88,195.58,26,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,Cody Durden,-157,137,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Southpaw,170.18,170.18,Orthodox,170.18,172.72,30,29,SUB,,,,,,,,,,,,,,,,,,,,
Christos Giagos,Carlton Minus,-345,285,19-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Catch Weight,MALE,Orthodox,177.8,190.5,Orthodox,177.8,180.34,30,27,U-DEC,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,Charles Oliveira,-185,160,12-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,Orthodox,180.34,193.04,Orthodox,177.8,187.96,31,36,U-DEC,,,,,,,,,,,,,,,,,,,,
Mackenzie Dern,Virna Jandiroba,-160,140,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,160.02,162.56,Orthodox,162.56,160.02,27,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Kevin Holland,Jacare Souza,-135,115,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,185.42,182.88,Orthodox,190.5,205.74,28,41,KO/TKO,,,,,,,,,,,,,,,,,,,,
Junior Dos Santos,Ciryl Gane,325,-400,12-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,Orthodox,193.04,195.58,Orthodox,193.04,205.74,30,36,KO/TKO,,,,,,,,,,,,,,,,,,,,
Cub Swanson,Daniel Pineda,132,-152,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Orthodox,170.18,175.26,Orthodox,172.72,177.8,37,35,KO/TKO,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Rafael Fiziev,120,-140,12-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,Orthodox,180.34,182.88,Switch,172.72,180.34,27,31,KO/TKO,,,,,,,,,,,,,,,,,,,,
Gavin Tucker,Billy Quarantillo,165,-190,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Orthodox,177.8,177.8,Southpaw,167.64,167.64,34,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Tecia Torres,Sam Hughes,-550,425,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,Orthodox,165.1,162.56,Orthodox,154.94,152.4,31,28,KO/TKO,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Peter Barrett,-310,255,12-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Southpaw,177.8,185.42,Southpaw,185.42,187.96,21,34,SUB,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Marvin Vettori,110,-134,05-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,Southpaw,182.88,187.96,Orthodox,185.42,195.58,32,27,U-DEC,,,,,,,,,,,,,,,,,,,,
Ovince Saint Preux,Jamahal Hill,140,-177,05-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,Southpaw,193.04,200.66,Southpaw,190.5,203.2,37,29,KO/TKO,,,,,,,,,,,,,,,,,,,,
Gabriel Benitez,Justin Jaynes,-215,170,05-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,Orthodox,170.18,172.72,Southpaw,172.72,180.34,32,31,KO/TKO,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,John Allan,-200,160,05-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,185.42,190.5,Orthodox,187.96,193.04,32,27,S-DEC,,,,,,,,,,,,,,,,,,,,
Louis Smolka,Jose Quinonez,-139,112,05-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,Southpaw,172.72,175.26,Orthodox,175.26,172.72,29,30,KO/TKO,,,,,,,,,,,,,,,,,,,,
Matt Wiman,Jordan Leavitt,310,-420,05-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,Southpaw,175.26,180.34,Orthodox,177.8,172.72,37,25,KO/TKO,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Damon Jackson,-275,210,05-12-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Switch,180.34,180.34,Orthodox,170.18,175.26,23,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Gian Villante,Jake Collier,-200,160,05-12-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,Orthodox,190.5,198.12,Orthodox,190.5,193.04,35,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Anthony Smith,Devin Clark,-139,115,28-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,Orthodox,182.88,190.5,Orthodox,193.04,193.04,32,30,SUB,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,Takashi Sato,-175,140,28-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,Southpaw,177.8,185.42,Orthodox,187.96,187.96,28,30,SUB,,,,,,,,,,,,,,,,,,,,
Josh Parisian,Parker Porter,-200,160,28-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,Orthodox,182.88,190.5,Orthodox,193.04,200.66,31,35,U-DEC,,,,,,,,,,,,,,,,,,,,
Spike Carlyle,Bill Algeo,-177,140,28-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,Switch,182.88,185.42,Switch,172.72,180.34,27,31,U-DEC,,,,,,,,,,,,,,,,,,,,
Ashlee Evans-Smith,Norma Dumont,-137,110,28-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,Orthodox,170.18,170.18,Orthodox,172.72,170.18,33,30,U-DEC,,,,,,,,,,,,,,,,,,,,
Jonathan Pearce,Kai Kamaka,245,-335,28-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,Orthodox,170.18,175.26,Switch,182.88,180.34,28,25,KO/TKO,,,,,,,,,,,,,,,,,,,,
Martin Day,Anderson Dos Santos,-167,135,28-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,Orthodox,165.1,177.8,Orthodox,177.8,185.42,32,35,SUB,,,,,,,,,,,,,,,,,,,,
Gina Mazany,Rachael Ostovich,-200,160,28-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,160.02,157.48,Southpaw,167.64,172.72,32,29,KO/TKO,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Malcolm Gordon,-335,250,28-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Switch,170.18,180.34,Southpaw,172.72,182.88,24,30,KO/TKO,,,,,,,,,,,,,,,,,,,,
Luke Sanders,Nate Maness,-155,125,28-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Catch Weight,MALE,Orthodox,177.8,182.88,Southpaw,167.64,170.18,34,29,SUB,,,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,Alex Perez,-286,225,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Orthodox,167.64,165.1,Orthodox,165.1,172.72,32,28,SUB,,,,,,,,,,,,,,,,,,,,
Valentina Shevchenko,Jennifer Maia,-1667,850,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,162.56,162.56,Southpaw,165.1,167.64,32,32,U-DEC,,,,,,,,,,,,,,,,,,,,
Mike Perry,Tim Means,-150,120,21-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,Orthodox,187.96,190.5,Orthodox,177.8,180.34,29,36,U-DEC,,,,,,,,,,,,,,,,,,,,
Katlyn Chookagian,Cynthia Calvillo,205,-265,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,162.56,162.56,Orthodox,175.26,172.72,31,33,U-DEC,,,,,,,,,,,,,,,,,,,,
Mauricio Rua,Paul Craig,150,-190,21-11-2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,Orthodox,190.5,193.04,Orthodox,185.42,193.04,38,32,KO/TKO,,,,,,,,,,,,,,,,,,,,
Brandon Moreno,Brandon Royval,-190,150,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,Southpaw,175.26,172.72,Orthodox,170.18,177.8,26,28,KO/TKO,,,,,,,,,,,,,,,,,,,,
Joaquin Buckley,Jordan Wright,-265,205,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,187.96,195.58,Southpaw,177.8,193.04,26,29,KO/TKO,,,,,,,,,,,,,,,,,,,,
Antonina Shevchenko,Ariane Lipski,-167,130,21-11-2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,167.64,170.18,Southpaw,172.72,170.18,36,26,KO/TKO,,,,,,,,,,,,,,,,,,,,
