RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Shi Ming,Feng Xiaocan,380,-490,23-11-2024,"Macau, China",China,Red,FALSE,Women's Strawweight,FEMALE,Southpaw,170.18,167.64,Orthodox,157.48,152.4,30,22,KO/TKO,Kick,3,0:46,,,,,,,,,,,,,,,,,
Nyamjargal Tumendemberel,Carlos Hernandez,102,-122,23-11-2024,"Macau, China",China,Blue,FALSE,Flyweight,MALE,Orthodox,172.72,170.18,Orthodox,170.18,180.34,26,31,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Lone'er Kavanagh,Jose Ochoa,-310,250,23-11-2024,"Macau, China",China,Red,FALSE,Flyweight,MALE,Southpaw,170.18,170.18,Orthodox,162.56,170.18,25,23,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Xiao Long,Quang Le,-144,136,23-11-2024,"Macau, China",China,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,177.8,Orthodox,172.72,177.8,26,33,KO/TKO,Punch,3,1:28,,,,,,,,,,,,,,,,,
Maheshate,Nikolas Motta,-245,200,23-11-2024,"Macau, China",China,Blue,FALSE,Lightweight,MALE,Orthodox,175.26,177.8,Orthodox,182.88,180.34,24,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jon Jones,Stipe Miocic,-550,410,16-11-2024,"New York City, New York, USA",USA,Red,TRUE,Heavyweight,MALE,Orthodox,193.04,203.2,Orthodox,193.04,213.36,37,42,KO/TKO,Spinning Back Kick,3,4:29,,,,,,,,,,,,,,,,,
Charles Oliveira,Michael Chandler,-265,215,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Lightweight,MALE,Orthodox,172.72,180.34,Orthodox,177.8,187.96,35,38,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Bo Nickal,Paul Craig,-1350,800,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Middleweight,MALE,Orthodox,190.5,193.04,Southpaw,185.42,193.04,28,36,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Viviane Araujo,Karine Silva,235,-290,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,165.1,170.18,Orthodox,162.56,172.72,37,30,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Mauricio Ruffy,James Llontop,-1000,650,16-11-2024,"New York City, New York, USA",USA,Red,FALSE,Catch Weight,MALE,Orthodox,182.88,185.42,Orthodox,180.34,190.5,28,25,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
